# 历史纪元（特化扩展·名称模糊化）-作为生成参考

艾尔德兰大陆的历史波澜壮阔，从诸神创世到凡人争霸，无数英雄与恶魔在此留下足迹。以下为各纪元的详细编年。

---

## 创世纪元（约前15000年 — 前10000年）
*诸神于虚海奠定基石，主位面在混沌中诞生。*

### 虚海初开
- **虚海**是一片无始无终的混沌之海，众多原始神祇在其中沉睡。最早苏醒的是**时间之主**与**空间之母**，他们编织了宇宙的基本法则。
- 随后，**光之主**与**暗之主**从虚海中升起，创造了神国作为居所。光之主的神国名为**至高天**，暗之主的神国名为**永夜宫**。

### 艾尔德兰的创造
- 诸神共同决定在主位面创造一个物质世界，作为凡物的家园。**大地之父**以身躯化为大陆，**海洋之母**以泪水填满无尽海与瑟兰海。
- **天空之主**撑起苍穹，**火焰之王**点亮太阳与星辰。**生命之树**的种子撒向大地，诞生了最初的植物与动物。
- 随后，诸神创造了第一批超凡生命：**古龙**（拥有永恒智慧与魔力）、**泰坦巨人**（掌握雷霆与山岳）、**元素领主**（火、水、土、气的化身）。它们成为世界的守护者与见证者。

### 神国秩序
- 诸神在艾尔德兰之外建立了各自的独立位面——神国。至高天与永夜宫成为两大神系的核心，其他神祇（如战争之神、智慧之神、自然之神等）依附于两大阵营或保持中立。
- 诸神约定：神国不得直接干涉主位面，但可通过信徒与使者间接影响。

---

## 神话纪元（约前10000年 — 前3000年）
*诸神行走大地，亲手塑造智慧种族；第一次诸神之战撕裂天地，神人分离的时代开启。*

### 智慧种族的诞生
- **人类**：由**智慧之神阿克罗斯**用泥土捏成，赋予学习与创造的天赋。最初的人类部落散居在波登平原与维大利半岛。
- **精灵**：由**自然之神希尔芙**从生命之树的枝叶中化出，美丽而长寿，擅长魔法与弓箭。最早的精灵王国建立在施瓦茨森林深处。
- **矮人**：由**大地之父格朗特**从岩石中凿出，坚韧而勤劳，精于锻造与采矿。他们定居于阿尔文山脉的地下城塞。
- **兽人**：由**战争之神布拉贡**用野兽与人类混血创造，强壮而好战，最初生活在极寒针叶林带。
- **其他种族**：侏儒（由**工艺之神赫菲斯**创造）、半身人（由**幸运女神维拉**创造）、龙族（古龙的后裔）等陆续出现。

### 诸神的教导
- 诸神亲自降临，教导各族文明：阿克罗斯教人类文字与法律；希尔芙教精灵诗歌与魔法；格朗特教矮人冶金与建筑；布拉贡教兽人战斗与狩猎。
- 各族迅速发展，建立了早期的城邦与部落。人类在波登平原建立了第一座城市**泰拉城**，成为后世帝国的雏形。

### 第一次诸神之战
- **起因**：暗之主企图夺取光之主的至高天，并控制主位面所有种族。他诱惑部分神祇（如堕落之神、欺诈之神）加入阵营，掀起战争。
- **战况**：战争波及神国与主位面。天空撕裂，大地震动，无尽海掀起滔天巨浪。许多凡物卷入其中，死伤无数。龙族与泰坦保持中立，但部分元素领主倒向暗之主。
- **结局**：光之主与暗之主在虚海决战，最终双方力量耗尽，被迫签订《神契》：诸神必须回归各自神国，不得再直接干涉主位面；主位面的命运交由凡物自己掌握。战后，部分神国受损，位面壁障出现永久性裂痕，为后来的位面交汇埋下伏笔。

### 神话遗迹
- 诸神之战留下众多遗迹：**破碎神国**的碎片飘浮在虚海边缘；**神陨之地**遍布主位面，成为蕴藏强大魔法能量的禁地；**神器**散落各地，如光之主的**圣枪**、暗之主的**魔戒**，成为后世英雄追寻的目标。

---

## 帝国纪元（约前3000年 — 公元1年）
*人类帝国崛起与分裂；精灵与矮人王国达到鼎盛；魔法与文明蓬勃发展。*

### 泰拉帝国的崛起
- **前2800年**：人类英雄**泰拉努斯**统一波登平原各部落，建立**泰拉帝国**，定都泰拉城。他自称“皇帝”，宣称自己是智慧之神的后裔，开启君权神授传统。
- **前2500年**：帝国进入扩张期。历代皇帝率军征服周边地区：向西越过莱茵河，占领莱恩兰；向南翻越阿尔文山脉，控制伦巴底平原；向东抵达马扎尔平原。
- **前2000年**：帝国疆域达到最大，东至卡尔帕特山脉，西临无尽海，北抵极寒针叶林带，南达维大利半岛。帝国建立行省制，推广古帝国语（原拉丁语）作为官方语言，修建“帝国大道”连通各地。

### 黄金时代
- **前1800年—前1200年**：帝国进入黄金时代。魔法研究兴盛，**魔法师公会**的前身“帝国秘法学会”在泰拉城成立，系统化魔法教育。炼金术、工程学取得突破，魔法灯、炼金药剂普及。
- 文化繁荣：史诗《泰拉之歌》歌颂开国皇帝；建筑学发展，圆形剧场、引水渠、公共浴场遍布帝国。
- 社会结构：贵族（元老院成员）、骑士（职业军人）、平民（农民、工匠）、奴隶（战俘与债务奴）阶层固化。

### 精灵与矮人王国
- **精灵**：在施瓦茨森林深处建立**艾尔达王国**，由精灵王统治，与世隔绝。高等精灵专注于魔法研究，发明了高等精灵语符文魔法。
- **矮人**：在阿尔文山脉建立**卡兹莫丹王国**，由山丘之王统治。矮人开采魔晶矿脉，锻造出无数神兵利器，与帝国保持贸易关系。
- **关系**：人类帝国与精灵关系冷淡（精灵鄙视人类的短视），与矮人关系友好（互市联姻）。

### 帝国的衰落
- **前1000年**：帝国开始显露衰败迹象。皇位继承频繁引发内战，元老院与皇帝争权。地方总督拥兵自重，形成半独立诸侯。
- **前800年**：北方蛮族（诺德人祖先）南下侵扰，帝国边防军无力抵御，允许蛮族定居边境，埋下隐患。
- **前500年**：帝国爆发“百年内乱”，七位僭主先后称帝，帝国名存实亡。诸侯纷纷独立，形成数十个王国与公国。
- **前300年**：最后一位泰拉皇帝被刺杀，帝国正式灭亡。其疆域分裂为：
  - 西尔维亚王国（后演变为法兰尼亚王国）
  - 奥斯特王国（后演变为泰拉尼亚帝国雏形）
  - 勃艮底公国
  - 维大利诸城邦
  - 伊斯帕尼亚诸王国
  - 诺德人部落（独立于帝国之外）

### 帝国遗产
- 帝国虽然灭亡，但古帝国语成为宗教与学术通用语；帝国大道仍是交通主干；魔法体系得以传承；法律与行政制度被后世继承。帝国被视为“失落的黄金时代”，后世君主皆以恢复泰拉荣光为志向。

### 其他势力发展
- **前200年**：诺德人开始在斯堪德维纳半岛建立部落联盟，形成早期**诺德联盟**。
- **前150年**：阿尔比昂人（原凯尔特人）渡海迁至安格里亚群岛，建立早期王国。
- **前50年**：潘诺尼亚人（原马扎尔人）从东方迁入潘诺尼亚高地，建立游牧部落联盟。

---

## 信仰纪元（公元1年 — 至今）
*主神教兴起，成为大陆主导信仰；位面交汇带来黑暗生物；教权与王权斗争贯穿始终。*

### 早期：主神教的诞生与传播（公元1年 — 400年）

#### 救世主降临
- **公元1年**：在维大利半岛的白冷小镇，一位名叫**艾尔文**的犹太木匠之子开始传道。他宣称自己是**主神**（即光之主的化身）之子，传播“爱神爱人”的教义，行神迹治病赶鬼。
- **公元33年**：因被当地祭司指控僭越，艾尔文在耶路撒冷被帝国总督钉死在十字架上，但信徒坚信他第三天复活，显现给门徒后升天。此后，门徒们开始四处传教，建立教会。

#### 教会的扩张
- **1—3世纪**：主神教在帝国废墟上迅速传播，尤其吸引底层民众与奴隶。帝国当局曾多次迫害信徒，但教会反而壮大。
- **313年**：泰拉皇帝奥勒留一世颁布《宽容敕令》，承认主神教合法地位。他本人临终受洗，成为首位信奉主神教的皇帝。
- **392年**：泰拉皇帝狄奥多里克一世宣布主神教为国教，禁止其他宗教崇拜。多神教神庙被关闭或改建，古代诸神信仰转入地下。

#### 圣城的建立
- **330年**：教宗西尔维斯特一世将教廷从罗马迁至维大利半岛的**圣城**（原圣彼得城），据传此处是使徒磐石的殉道地。圣城成为主神教的中心，教宗成为最高精神领袖。

### 中期：第一次位面交汇与黑暗时代（452年 — 800年）

#### 452年：第一次位面交汇
- 在卡尔帕特山脉上空，空间屏障因古代神战遗留的裂痕突然撕裂，形成巨大的**位面通道**。无数黑暗生物从虚海涌入：恶魔、吸血鬼、暗影生物、堕落元素等。
- 吸血鬼的起源：一批被诅咒的人类与精灵在通道附近被黑暗能量侵蚀，转化为第一批吸血鬼，他们拥有人类的外貌与永生，但渴望鲜血，惧怕阳光。吸血鬼始祖**凯恩**据说在此时降临，建立血族十三氏族。
- 恶魔军队横扫东部，潘诺尼亚平原沦陷，卡尔帕特山脉成为黑暗巢穴。

#### 圣战与抵抗
- **453年**：教宗利奥一世号召全大陆发起**大圣战**，各国响应，组成联军。泰拉尼亚诸侯、法兰尼亚骑士、维大利城邦民兵、诺德勇士齐聚东线。
- **455年**：**圣骑士罗南**率领法兰尼亚骑士在“血谷之战”中击退恶魔主力，自己壮烈牺牲。其圣剑“光辉”成为圣物。
- **460年**：联军攻入卡尔帕特山脉，但无法彻底清除黑暗。最终，人类与精灵、矮人联手在主要通道口建立**守望堡**，布置强大封印，阻止大规模入侵。但小型裂缝依然存在，黑暗生物仍能零星渗透。

#### 吸血鬼的隐秘社会
- 战后，残余的吸血鬼潜伏于人类社会中，在卡尔帕特山脉深处建立血族城堡，形成隐秘的十三氏族议会。他们通过控制贵族、操纵黑市、发展信徒，逐渐渗透各国高层。

#### 黑暗时代的延续
- **5—8世纪**：大陆进入黑暗时代。各国忙于内战，黑暗生物时常侵扰边境。主神教通过修道院保存知识，传教士深入蛮族地区传播福音。
- **732年**：法兰克王国宫相卡尔·马特在图尔平原战役中击败入侵的南方异教徒（原摩尔人），阻止其北扩。
- **800年**：法兰克国王卡尔大帝被教宗加冕为“罗马人的皇帝”，标志**泰拉尼亚帝国**在西方重建，但仅为松散联邦，由七大选帝侯推举皇帝。

### 鼎盛时期：信仰战争与教会巅峰（1095年 — 1300年）

#### 信仰战争（原十字军东征）
- **1095年**：教宗乌尔班二世在克莱蒙会议号召发动**信仰战争**，目标是收复被异教徒占领的“圣城锡安”（原耶路撒冷）。
- **1099年**：第一次信仰战争攻占锡安，建立锡安王国、的黎波里伯国等国家。圣殿骑士团、医护骑士团成立，保护朝圣者。
- **1147年**：第二次信仰战争因埃德萨沦陷而发起，但失败。
- **1189年**：第三次信仰战争由泰拉尼亚皇帝红胡子弗里德里希、安格里亚王狮心理查德、法兰尼亚王菲利普领导，虽未收复锡安，但取得若干胜利。
- **1204年**：第四次信仰战争在维尼斯共和国（原威尼斯）怂恿下，攻占同是主神教的赫拉斯帝国首都新罗马（原君士坦丁堡），建立西方帝国，导致东西教会裂痕加深，至今未愈。

#### 教权巅峰
- **13世纪初**：教宗伊诺森三世成为大陆最强政治力量，有权废立君主，发动信仰战争镇压清洁派异端。主神教影响力达到顶峰。

### 晚期：动荡与危机（1300年 — 至今）

#### 1309年：教宗被囚
- 法王菲利普四世绑架教宗卜尼法斯八世，后将教廷迁至阿维农（原阿维尼翁），开始“阿维农教宗”时期（1309—1377），教权屈从于王权。

#### 清洁派异端
- 在法兰尼亚南部与维大利北部，**清洁派**（又称卡特里派）广泛传播。他们主张善恶二元论，认为物质世界是恶的，反对教会腐败，拒绝圣礼。教宗发动“阿尔比圣战”残酷镇压，屠杀数万人，但清洁派思想仍在民间秘密流传。

#### 当前时代：信仰纪元1248年
- **教宗与皇帝的斗争**：泰拉尼亚帝国皇帝**弗里德里希二世**（霍亨斯坦王朝）试图控制维大利北部城邦，与教宗**格列高利九世**激烈冲突。弗里德里希二世被绝罚，帝国陷入分裂，支持皇帝的皇权派与支持教宗的教权派在各地内战。
- **法兰尼亚王权强化**：法王**路德维希九世**（圣路易）加强中央集权，整顿司法，发起第七次信仰战争（1248年），但在埃及战败被俘，后赎回。他回国后致力于改革，与贵族矛盾依然存在。
- **安格里亚动荡**：无地者约翰被迫签署《自由大宪章》（1215年）后，贵族与王权斗争持续。亨利三世时期，西蒙·蒙特福德领导贵族叛乱（1258年），开安格里亚议会之先河。
- **东方威胁**：东方游牧民族（金色部落）于1241年击败潘诺尼亚王国，蹂躏东欧。虽因大汗去世退兵，但潘诺尼亚残破，金色部落威胁仍在。卡尔帕特山脉吸血鬼活动加剧，有传闻血族始祖凯恩即将苏醒。
- **位面交汇前兆**：各地频繁出现小型位面裂缝，异界生物出没。占星家预测第二次大规模位面交汇将在十年内发生。自然之环的德鲁伊发现古老封印松动，施瓦茨森林的永恒迷雾开始扩散。
- **黑魔法复兴**：黑魔法师与恶魔崇拜者在暗影议会领导下，积极准备献祭仪式，试图召唤恶魔领主。宗教裁判所四处搜捕，但收效甚微。

---

## 历史年表（简略）

| 纪元       | 时间              | 事件                                                         |
|------------|-------------------|--------------------------------------------------------------|
| 创世纪元   | 前15000—前10000   | 诸神创造宇宙与主位面，古龙、泰坦诞生                         |
| 神话纪元   | 前10000—前3000    | 诸神创造智慧种族，第一次诸神之战，神人分离                   |
| 帝国纪元   | 前2800            | 泰拉努斯建立泰拉帝国                                         |
